/work/sheidaei/conda/envs/mytorch/lib/python3.9/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343997789/work/aten/src/ATen/native/TensorShape.cpp:3483.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
Namespace(dataset='Design', img_size=[64, 64, 64], vit_patches_size=[4, 4, 4], vit_name='Conv-ViT-Gen2-B_16', pretrained_net_path=False, is_encoder_pretrained=False, deterministic=1, max_epochs=200, batch_size=32, base_lr=0.003, seed=1234, gpu=4, world_size=-1, rank=-1, dist_url='env://', dist_backend='nccl', local_rank=-1, num_classes=2, root_path='/work/sheidaei/mhashemi/data/mat', list_dir='./lists/lists_Design', exp='TVG_Design[64, 64, 64]', distributed=False)
10 iterations per epoch. 2000 max iterations 
  0%|                                         | 0/200 [00:00<?, ?it/s]iteration 1: loss: 92.678047, loss_recon: 0.693148, loss_pred: 23.363283
iteration 2: loss: 89.627754, loss_recon: 0.706978, loss_pred: 18.929916
iteration 25: loss: 86.007996, loss_recon: 0.676589, loss_pred: 18.349041
iteration 26: loss: 79.952896, loss_recon: 0.669679, loss_pred: 12.985045
iteration 27: loss: 73.576958, loss_recon: 0.654035, loss_pred: 8.173452
iteration 28: loss: 71.749069, loss_recon: 0.642619, loss_pred: 7.487139
iteration 29: loss: 76.591667, loss_recon: 0.664719, loss_pred: 10.119781
iteration 30: loss: 79.026932, loss_recon: 0.649412, loss_pred: 14.085761
  2%|▍                              | 3/200 [02:44<2:55:02, 53.31s/it]iteration 31: loss: 73.252800, loss_recon: 0.644723, loss_pred: 8.780449
iteration 32: loss: 70.435211, loss_recon: 0.654250, loss_pred: 5.010220
iteration 33: loss: 69.498024, loss_recon: 0.654619, loss_pred: 4.036109
iteration 34: loss: 69.456268, loss_recon: 0.644808, loss_pred: 4.975505
iteration 35: loss: 72.419083, loss_recon: 0.653024, loss_pred: 7.116705
iteration 36: loss: 69.956497, loss_recon: 0.638369, loss_pred: 6.119567
iteration 37: loss: 66.917030, loss_recon: 0.630666, loss_pred: 3.850472
iteration 38: loss: 67.468483, loss_recon: 0.645384, loss_pred: 2.930104
iteration 39: loss: 65.420967, loss_recon: 0.630416, loss_pred: 2.379367
iteration 40: loss: 68.520805, loss_recon: 0.657382, loss_pred: 2.782588
  2%|▌                              | 4/200 [03:33<2:49:11, 51.79s/it]iteration 41: loss: 68.467316, loss_recon: 0.639620, loss_pred: 4.505354
iteration 42: loss: 68.385155, loss_recon: 0.643157, loss_pred: 4.069428
iteration 43: loss: 67.007889, loss_recon: 0.639037, loss_pred: 3.104201
iteration 44: loss: 65.120598, loss_recon: 0.630096, loss_pred: 2.110988
iteration 45: loss: 66.537918, loss_recon: 0.637558, loss_pred: 2.782110
iteration 46: loss: 64.598701, loss_recon: 0.619448, loss_pred: 2.653911
iteration 47: loss: 66.905342, loss_recon: 0.637298, loss_pred: 3.175562
iteration 48: loss: 65.327202, loss_recon: 0.627362, loss_pred: 2.591035
iteration 49: loss: 65.179695, loss_recon: 0.629859, loss_pred: 2.193834
iteration 50: loss: 64.622330, loss_recon: 0.628590, loss_pred: 1.763321
  2%|▊                              | 5/200 [04:22<2:44:25, 50.59s/it]iteration 51: loss: 63.802673, loss_recon: 0.618899, loss_pred: 1.912771
iteration 52: loss: 64.384491, loss_recon: 0.624778, loss_pred: 1.906692
iteration 53: loss: 64.970741, loss_recon: 0.631158, loss_pred: 1.854974
iteration 54: loss: 64.747536, loss_recon: 0.628191, loss_pred: 1.928463
iteration 55: loss: 65.224594, loss_recon: 0.628188, loss_pred: 2.405796
iteration 56: loss: 63.302628, loss_recon: 0.615151, loss_pred: 1.787494
iteration 57: loss: 63.563293, loss_recon: 0.622179, loss_pred: 1.345412
iteration 58: loss: 64.529480, loss_recon: 0.624945, loss_pred: 2.035009
iteration 59: loss: 63.929035, loss_recon: 0.624727, loss_pred: 1.456340
iteration 60: loss: 65.781250, loss_recon: 0.632805, loss_pred: 2.500757
  3%|▉                              | 6/200 [05:12<2:42:33, 50.28s/it]iteration 61: loss: 62.987648, loss_recon: 0.617350, loss_pred: 1.252608
iteration 62: loss: 62.856747, loss_recon: 0.606263, loss_pred: 2.230479
iteration 63: loss: 63.953934, loss_recon: 0.624079, loss_pred: 1.545997
iteration 64: loss: 65.004883, loss_recon: 0.628377, loss_pred: 2.167132
iteration 65: loss: 63.593533, loss_recon: 0.619471, loss_pred: 1.646449
iteration 66: loss: 65.260109, loss_recon: 0.633477, loss_pred: 1.912417
iteration 67: loss: 64.059662, loss_recon: 0.614106, loss_pred: 2.649037
iteration 68: loss: 62.715347, loss_recon: 0.617002, loss_pred: 1.015123
iteration 69: loss: 62.835289, loss_recon: 0.613855, loss_pred: 1.449784
iteration 70: loss: 66.568192, loss_recon: 0.627439, loss_pred: 3.824313
  4%|█                              | 7/200 [06:01<2:41:09, 50.10s/it]iteration 71: loss: 64.781685, loss_recon: 0.628974, loss_pred: 1.884257
iteration 72: loss: 61.546356, loss_recon: 0.597740, loss_pred: 1.772370
iteration 73: loss: 62.930115, loss_recon: 0.619452, loss_pred: 0.984922
iteration 74: loss: 63.023724, loss_recon: 0.617838, loss_pred: 1.239922
iteration 75: loss: 63.674244, loss_recon: 0.625177, loss_pred: 1.156548
iteration 76: loss: 63.253288, loss_recon: 0.620082, loss_pred: 1.245119
iteration 77: loss: 62.086933, loss_recon: 0.607538, loss_pred: 1.333158
iteration 78: loss: 63.110260, loss_recon: 0.615305, loss_pred: 1.579719
iteration 79: loss: 61.733627, loss_recon: 0.610711, loss_pred: 0.662549
iteration 80: loss: 64.180664, loss_recon: 0.624759, loss_pred: 1.704712
  4%|█▏                             | 8/200 [06:51<2:39:38, 49.89s/it]iteration 81: loss: 61.743858, loss_recon: 0.608325, loss_pred: 0.911406
iteration 82: loss: 61.496914, loss_recon: 0.607138, loss_pred: 0.783083
iteration 83: loss: 63.051216, loss_recon: 0.619509, loss_pred: 1.100297
iteration 84: loss: 63.590508, loss_recon: 0.628824, loss_pred: 0.708156
iteration 85: loss: 62.349533, loss_recon: 0.610378, loss_pred: 1.311686
iteration 86: loss: 64.641304, loss_recon: 0.632998, loss_pred: 1.341506
iteration 87: loss: 62.358681, loss_recon: 0.616641, loss_pred: 0.694595
iteration 88: loss: 61.313049, loss_recon: 0.604845, loss_pred: 0.828580
iteration 89: loss: 62.241978, loss_recon: 0.611379, loss_pred: 1.104119
iteration 90: loss: 63.590233, loss_recon: 0.616260, loss_pred: 1.964211
  4%|█▍                             | 9/200 [07:40<2:37:42, 49.54s/it]iteration 91: loss: 60.418728, loss_recon: 0.594200, loss_pred: 0.998761
iteration 92: loss: 63.862835, loss_recon: 0.628199, loss_pred: 1.042966
iteration 93: loss: 64.121521, loss_recon: 0.620788, loss_pred: 2.042694
iteration 94: loss: 63.201645, loss_recon: 0.621430, loss_pred: 1.058626
iteration 95: loss: 63.005661, loss_recon: 0.619272, loss_pred: 1.078467
iteration 96: loss: 62.453487, loss_recon: 0.612885, loss_pred: 1.164969
iteration 97: loss: 62.252522, loss_recon: 0.614015, loss_pred: 0.851026
iteration 98: loss: 64.029655, loss_recon: 0.629460, loss_pred: 1.083623
iteration 99: loss: 61.950016, loss_recon: 0.612319, loss_pred: 0.718086
iteration 100: loss: 64.526016, loss_recon: 0.633280, loss_pred: 1.198062
  5%|█▌                            | 10/200 [08:29<2:36:39, 49.47s/it]iteration 101: loss: 64.760681, loss_recon: 0.628434, loss_pred: 1.917303
iteration 102: loss: 63.247936, loss_recon: 0.619291, loss_pred: 1.318839
iteration 103: loss: 61.494671, loss_recon: 0.605497, loss_pred: 0.944924
iteration 104: loss: 62.706104, loss_recon: 0.614708, loss_pred: 1.235311
iteration 105: loss: 63.051105, loss_recon: 0.618199, loss_pred: 1.231161
iteration 106: loss: 62.525345, loss_recon: 0.614195, loss_pred: 1.105893
iteration 107: loss: 61.722313, loss_recon: 0.605373, loss_pred: 1.185060
iteration 108: loss: 62.900803, loss_recon: 0.621608, loss_pred: 0.740026
iteration 109: loss: 62.259254, loss_recon: 0.611050, loss_pred: 1.154230
iteration 110: loss: 65.215027, loss_recon: 0.629732, loss_pred: 2.241800
  6%|█▋                            | 11/200 [09:17<2:34:55, 49.18s/it]iteration 111: loss: 63.231895, loss_recon: 0.624461, loss_pred: 0.785790
iteration 112: loss: 64.289597, loss_recon: 0.620396, loss_pred: 2.250013
iteration 113: loss: 63.947506, loss_recon: 0.623949, loss_pred: 1.552652
iteration 114: loss: 62.002941, loss_recon: 0.611253, loss_pred: 0.877687
iteration 115: loss: 63.951069, loss_recon: 0.617192, loss_pred: 2.231901
iteration 116: loss: 63.786606, loss_recon: 0.616035, loss_pred: 2.183067
iteration 117: loss: 61.652229, loss_recon: 0.610191, loss_pred: 0.633097
iteration 118: loss: 64.526985, loss_recon: 0.627700, loss_pred: 1.756997
iteration 119: loss: 64.005478, loss_recon: 0.617161, loss_pred: 2.289334
iteration 120: loss: 63.330067, loss_recon: 0.608249, loss_pred: 2.505175
  6%|█▊                            | 12/200 [10:07<2:34:08, 49.19s/it]iteration 121: loss: 65.602936, loss_recon: 0.628870, loss_pred: 2.715939
iteration 122: loss: 62.589512, loss_recon: 0.607157, loss_pred: 1.873806
iteration 123: loss: 62.170403, loss_recon: 0.613495, loss_pred: 0.820853
iteration 124: loss: 63.336395, loss_recon: 0.621995, loss_pred: 1.136898
iteration 125: loss: 64.484474, loss_recon: 0.607917, loss_pred: 3.692738
iteration 126: loss: 63.432472, loss_recon: 0.623818, loss_pred: 1.050657
iteration 127: loss: 64.708755, loss_recon: 0.628612, loss_pred: 1.847590
iteration 128: loss: 61.083408, loss_recon: 0.603004, loss_pred: 0.782974
iteration 129: loss: 62.910992, loss_recon: 0.620483, loss_pred: 0.862735
iteration 130: loss: 64.301910, loss_recon: 0.602429, loss_pred: 4.058999
  6%|█▉                            | 13/200 [10:56<2:33:49, 49.35s/it]iteration 131: loss: 62.385792, loss_recon: 0.612028, loss_pred: 1.183041
iteration 132: loss: 63.054146, loss_recon: 0.623522, loss_pred: 0.701986
iteration 133: loss: 62.046623, loss_recon: 0.610244, loss_pred: 1.022254
iteration 134: loss: 61.917774, loss_recon: 0.608260, loss_pred: 1.091818
iteration 135: loss: 61.679523, loss_recon: 0.609793, loss_pred: 0.700231
iteration 136: loss: 62.025383, loss_recon: 0.612735, loss_pred: 0.751840
iteration 137: loss: 61.585510, loss_recon: 0.609441, loss_pred: 0.641381
iteration 138: loss: 61.540848, loss_recon: 0.608172, loss_pred: 0.723669
iteration 139: loss: 62.322212, loss_recon: 0.617002, loss_pred: 0.621998
iteration 140: loss: 66.345947, loss_recon: 0.642299, loss_pred: 2.116081
  7%|██                            | 14/200 [11:45<2:32:35, 49.22s/it]iteration 141: loss: 63.139454, loss_recon: 0.622339, loss_pred: 0.905603
iteration 142: loss: 62.749649, loss_recon: 0.620236, loss_pred: 0.726046
iteration 143: loss: 62.836029, loss_recon: 0.623493, loss_pred: 0.486711
iteration 144: loss: 61.944489, loss_recon: 0.609283, loss_pred: 1.016198
iteration 145: loss: 62.042126, loss_recon: 0.613635, loss_pred: 0.678642
iteration 146: loss: 61.663742, loss_recon: 0.609642, loss_pred: 0.699533
iteration 147: loss: 61.781670, loss_recon: 0.611985, loss_pred: 0.583170
iteration 148: loss: 61.083649, loss_recon: 0.603010, loss_pred: 0.782624
iteration 149: loss: 61.277519, loss_recon: 0.609359, loss_pred: 0.341651
iteration 150: loss: 63.752113, loss_recon: 0.615063, loss_pred: 2.245813
  8%|██▎                           | 15/200 [12:34<2:31:18, 49.07s/it]iteration 151: loss: 62.141876, loss_recon: 0.614491, loss_pred: 0.692761
iteration 152: loss: 61.975037, loss_recon: 0.612527, loss_pred: 0.722324
iteration 153: loss: 62.444878, loss_recon: 0.615527, loss_pred: 0.892138
iteration 154: loss: 61.413788, loss_recon: 0.608966, loss_pred: 0.517188
iteration 155: loss: 61.642918, loss_recon: 0.612441, loss_pred: 0.398823
iteration 156: loss: 60.684044, loss_recon: 0.598027, loss_pred: 0.881320
iteration 157: loss: 62.453819, loss_recon: 0.616762, loss_pred: 0.777636
iteration 158: loss: 61.988361, loss_recon: 0.610761, loss_pred: 0.912239
iteration 159: loss: 62.689384, loss_recon: 0.622975, loss_pred: 0.391935
iteration 160: loss: 62.883705, loss_recon: 0.614770, loss_pred: 1.406679
  8%|██▍                           | 16/200 [13:23<2:30:46, 49.16s/it]iteration 161: loss: 64.193504, loss_recon: 0.633013, loss_pred: 0.892186
iteration 162: loss: 62.646393, loss_recon: 0.621728, loss_pred: 0.473556
iteration 163: loss: 61.434490, loss_recon: 0.610076, loss_pred: 0.426929
iteration 164: loss: 61.712002, loss_recon: 0.611498, loss_pred: 0.562203
iteration 165: loss: 61.525597, loss_recon: 0.608514, loss_pred: 0.674165
iteration 166: loss: 60.833664, loss_recon: 0.602874, loss_pred: 0.546315
iteration 167: loss: 60.290306, loss_recon: 0.590134, loss_pred: 1.276940
iteration 168: loss: 62.354965, loss_recon: 0.615544, loss_pred: 0.800569
iteration 169: loss: 63.279228, loss_recon: 0.625153, loss_pred: 0.763952
iteration 170: loss: 66.422501, loss_recon: 0.624710, loss_pred: 3.951465
  8%|██▌                           | 17/200 [14:13<2:30:23, 49.31s/it]iteration 171: loss: 62.505463, loss_recon: 0.616654, loss_pred: 0.840085
iteration 172: loss: 62.075031, loss_recon: 0.616538, loss_pred: 0.421197
iteration 173: loss: 62.418968, loss_recon: 0.613373, loss_pred: 1.081670
iteration 174: loss: 61.400261, loss_recon: 0.606668, loss_pred: 0.733502
iteration 175: loss: 62.306110, loss_recon: 0.613838, loss_pred: 0.922267
iteration 176: loss: 62.222931, loss_recon: 0.614686, loss_pred: 0.754311
iteration 177: loss: 61.962914, loss_recon: 0.612825, loss_pred: 0.680459
iteration 178: loss: 61.062149, loss_recon: 0.603570, loss_pred: 0.705142
iteration 179: loss: 62.416115, loss_recon: 0.617727, loss_pred: 0.643399
iteration 180: loss: 62.142399, loss_recon: 0.607380, loss_pred: 1.404425
  9%|██▋                           | 18/200 [15:03<2:29:55, 49.42s/it]iteration 181: loss: 62.985249, loss_recon: 0.625401, loss_pred: 0.445106
iteration 182: loss: 63.705643, loss_recon: 0.626599, loss_pred: 1.045742
iteration 183: loss: 62.114815, loss_recon: 0.611867, loss_pred: 0.928119
iteration 184: loss: 61.855003, loss_recon: 0.611564, loss_pred: 0.698586
iteration 185: loss: 61.319164, loss_recon: 0.607047, loss_pred: 0.614491
iteration 186: loss: 61.033611, loss_recon: 0.605080, loss_pred: 0.525562
iteration 187: loss: 62.378555, loss_recon: 0.619432, loss_pred: 0.435334
iteration 188: loss: 60.760887, loss_recon: 0.602850, loss_pred: 0.475878
iteration 189: loss: 61.229111, loss_recon: 0.608118, loss_pred: 0.417345
iteration 190: loss: 62.038223, loss_recon: 0.607042, loss_pred: 1.333985
 10%|██▊                           | 19/200 [15:51<2:28:32, 49.24s/it]iteration 191: loss: 62.300014, loss_recon: 0.614995, loss_pred: 0.800536
iteration 192: loss: 60.096977, loss_recon: 0.595457, loss_pred: 0.551268
iteration 193: loss: 61.910210, loss_recon: 0.614832, loss_pred: 0.426996
iteration 194: loss: 62.804779, loss_recon: 0.621370, loss_pred: 0.667740
iteration 195: loss: 63.266876, loss_recon: 0.627004, loss_pred: 0.566448
iteration 196: loss: 61.466469, loss_recon: 0.608767, loss_pred: 0.589731
iteration 197: loss: 60.190392, loss_recon: 0.597016, loss_pred: 0.488765
iteration 198: loss: 61.816498, loss_recon: 0.610801, loss_pred: 0.736394
iteration 199: loss: 62.400867, loss_recon: 0.615643, loss_pred: 0.836583
iteration 200: loss: 64.200714, loss_recon: 0.628034, loss_pred: 1.397319
 10%|███                           | 20/200 [16:41<2:28:13, 49.41s/it]iteration 201: loss: 62.120399, loss_recon: 0.606509, loss_pred: 1.469541
iteration 202: loss: 62.437527, loss_recon: 0.616257, loss_pred: 0.811869
iteration 203: loss: 61.409981, loss_recon: 0.604991, loss_pred: 0.910876
iteration 204: loss: 62.415318, loss_recon: 0.618439, loss_pred: 0.571425
iteration 205: loss: 62.236053, loss_recon: 0.616405, loss_pred: 0.595528
iteration 206: loss: 62.531761, loss_recon: 0.612458, loss_pred: 1.285969
iteration 207: loss: 64.025467, loss_recon: 0.633985, loss_pred: 0.627008
iteration 208: loss: 61.181244, loss_recon: 0.606318, loss_pred: 0.549475
iteration 209: loss: 60.418968, loss_recon: 0.598238, loss_pred: 0.595213
iteration 210: loss: 61.365509, loss_recon: 0.607232, loss_pred: 0.642317
 10%|███▏                          | 21/200 [17:31<2:27:42, 49.51s/it]iteration 211: loss: 61.181252, loss_recon: 0.608435, loss_pred: 0.337774
iteration 212: loss: 63.511078, loss_recon: 0.629360, loss_pred: 0.575071
iteration 213: loss: 61.272007, loss_recon: 0.607616, loss_pred: 0.510418
iteration 214: loss: 61.688187, loss_recon: 0.609047, loss_pred: 0.783475
iteration 215: loss: 61.534100, loss_recon: 0.607354, loss_pred: 0.798714
iteration 216: loss: 61.683846, loss_recon: 0.609638, loss_pred: 0.720056
iteration 217: loss: 61.023647, loss_recon: 0.606111, loss_pred: 0.412559
iteration 218: loss: 60.803070, loss_recon: 0.602968, loss_pred: 0.506282
iteration 219: loss: 62.777668, loss_recon: 0.620258, loss_pred: 0.751834
iteration 220: loss: 62.033806, loss_recon: 0.614481, loss_pred: 0.585688
 11%|███▎                          | 22/200 [18:21<2:27:05, 49.58s/it]iteration 221: loss: 62.966152, loss_recon: 0.623618, loss_pred: 0.604308
iteration 222: loss: 61.455883, loss_recon: 0.609068, loss_pred: 0.549037
iteration 223: loss: 61.485031, loss_recon: 0.609101, loss_pred: 0.574968
iteration 224: loss: 61.398891, loss_recon: 0.608824, loss_pred: 0.516478
iteration 225: loss: 63.371143, loss_recon: 0.628679, loss_pred: 0.503196
iteration 226: loss: 61.380295, loss_recon: 0.607049, loss_pred: 0.675427
iteration 227: loss: 61.352825, loss_recon: 0.607878, loss_pred: 0.565045
iteration 228: loss: 60.051857, loss_recon: 0.593116, loss_pred: 0.740276
iteration 229: loss: 61.974472, loss_recon: 0.615216, loss_pred: 0.452857
iteration 230: loss: 61.516235, loss_recon: 0.609725, loss_pred: 0.543787
 12%|███▍                          | 23/200 [19:10<2:26:04, 49.52s/it]iteration 231: loss: 61.497803, loss_recon: 0.609842, loss_pred: 0.513573
iteration 232: loss: 61.887005, loss_recon: 0.612593, loss_pred: 0.627688
iteration 233: loss: 62.552242, loss_recon: 0.617072, loss_pred: 0.845033
iteration 234: loss: 62.893841, loss_recon: 0.618194, loss_pred: 1.074426
iteration 235: loss: 61.999962, loss_recon: 0.615647, loss_pred: 0.435285
iteration 236: loss: 62.706436, loss_recon: 0.615869, loss_pred: 1.119545
iteration 237: loss: 61.481960, loss_recon: 0.609623, loss_pred: 0.519646
iteration 238: loss: 60.985821, loss_recon: 0.602494, loss_pred: 0.736447
iteration 239: loss: 60.845280, loss_recon: 0.600409, loss_pred: 0.804383
iteration 240: loss: 64.247734, loss_recon: 0.627072, loss_pred: 1.540512
 12%|███▌                          | 24/200 [20:00<2:25:32, 49.62s/it]iteration 241: loss: 61.805275, loss_recon: 0.612367, loss_pred: 0.568566
iteration 242: loss: 62.312817, loss_recon: 0.615182, loss_pred: 0.794571
iteration 243: loss: 61.743908, loss_recon: 0.606202, loss_pred: 1.123749
iteration 244: loss: 61.246899, loss_recon: 0.605408, loss_pred: 0.706134
iteration 245: loss: 61.735497, loss_recon: 0.605546, loss_pred: 1.180853
iteration 246: loss: 63.122677, loss_recon: 0.624400, loss_pred: 0.682662
iteration 247: loss: 62.260815, loss_recon: 0.613712, loss_pred: 0.889573
iteration 248: loss: 61.863842, loss_recon: 0.613096, loss_pred: 0.554217
iteration 249: loss: 61.304539, loss_recon: 0.609835, loss_pred: 0.321037
iteration 250: loss: 65.855705, loss_recon: 0.631598, loss_pred: 2.695855
 12%|███▊                          | 25/200 [20:49<2:24:30, 49.54s/it]iteration 251: loss: 61.651527, loss_recon: 0.611928, loss_pred: 0.458721
iteration 252: loss: 62.550396, loss_recon: 0.620288, loss_pred: 0.521564
iteration 253: loss: 61.570038, loss_recon: 0.608375, loss_pred: 0.732546
iteration 254: loss: 60.548054, loss_recon: 0.598619, loss_pred: 0.686140
iteration 255: loss: 62.772911, loss_recon: 0.615217, loss_pred: 1.251236
iteration 256: loss: 61.909504, loss_recon: 0.611812, loss_pred: 0.728349
iteration 257: loss: 60.812260, loss_recon: 0.603314, loss_pred: 0.480870
iteration 258: loss: 61.702847, loss_recon: 0.613336, loss_pred: 0.369267
iteration 259: loss: 62.352737, loss_recon: 0.617552, loss_pred: 0.597565
iteration 260: loss: 64.202286, loss_recon: 0.624892, loss_pred: 1.713084
 13%|███▉                          | 26/200 [21:39<2:23:27, 49.47s/it]iteration 261: loss: 61.948799, loss_recon: 0.616158, loss_pred: 0.333012
iteration 262: loss: 62.053814, loss_recon: 0.615513, loss_pred: 0.502487
iteration 263: loss: 62.208401, loss_recon: 0.614620, loss_pred: 0.746389
iteration 264: loss: 61.163616, loss_recon: 0.606658, loss_pred: 0.497825
iteration 265: loss: 62.094769, loss_recon: 0.615673, loss_pred: 0.527492
iteration 266: loss: 63.269337, loss_recon: 0.627132, loss_pred: 0.556103
iteration 267: loss: 60.725010, loss_recon: 0.599063, loss_pred: 0.818747
iteration 268: loss: 60.540054, loss_recon: 0.600228, loss_pred: 0.517276
iteration 269: loss: 62.327267, loss_recon: 0.614304, loss_pred: 0.896868
iteration 270: loss: 62.312885, loss_recon: 0.614014, loss_pred: 0.911525
 14%|████                          | 27/200 [22:28<2:22:30, 49.42s/it]iteration 271: loss: 61.996319, loss_recon: 0.614737, loss_pred: 0.522642
iteration 272: loss: 61.529652, loss_recon: 0.604341, loss_pred: 1.095530
iteration 273: loss: 61.330265, loss_recon: 0.610428, loss_pred: 0.287489
iteration 274: loss: 61.812798, loss_recon: 0.607917, loss_pred: 1.021079
iteration 275: loss: 61.387764, loss_recon: 0.610113, loss_pred: 0.376473
iteration 276: loss: 60.664459, loss_recon: 0.599755, loss_pred: 0.688954
iteration 277: loss: 62.156517, loss_recon: 0.618913, loss_pred: 0.265258
iteration 278: loss: 60.983139, loss_recon: 0.606867, loss_pred: 0.296466
iteration 279: loss: 62.605919, loss_recon: 0.619364, loss_pred: 0.669552
iteration 280: loss: 63.481117, loss_recon: 0.628961, loss_pred: 0.585027
 14%|████▏                         | 28/200 [23:17<2:21:03, 49.21s/it]iteration 281: loss: 61.823330, loss_recon: 0.612736, loss_pred: 0.549681
iteration 282: loss: 60.790535, loss_recon: 0.603475, loss_pred: 0.442999
iteration 283: loss: 61.427570, loss_recon: 0.607361, loss_pred: 0.691457
iteration 284: loss: 61.090923, loss_recon: 0.601730, loss_pred: 0.917962
iteration 285: loss: 63.275684, loss_recon: 0.623437, loss_pred: 0.931993
iteration 286: loss: 62.514462, loss_recon: 0.619910, loss_pred: 0.523419
iteration 287: loss: 61.649849, loss_recon: 0.602878, loss_pred: 1.362094
iteration 288: loss: 61.947285, loss_recon: 0.616014, loss_pred: 0.345889
iteration 289: loss: 63.364910, loss_recon: 0.625659, loss_pred: 0.799001
iteration 290: loss: 60.692783, loss_recon: 0.593911, loss_pred: 1.301679
 14%|████▎                         | 29/200 [24:06<2:20:34, 49.32s/it]iteration 291: loss: 61.577934, loss_recon: 0.611801, loss_pred: 0.397851
iteration 292: loss: 61.143253, loss_recon: 0.603642, loss_pred: 0.779070
iteration 293: loss: 62.974384, loss_recon: 0.623623, loss_pred: 0.612076
iteration 294: loss: 61.362007, loss_recon: 0.609679, loss_pred: 0.394095
iteration 295: loss: 61.426304, loss_recon: 0.610264, loss_pred: 0.399875
iteration 296: loss: 60.262787, loss_recon: 0.598446, loss_pred: 0.418152
iteration 297: loss: 61.421761, loss_recon: 0.608501, loss_pred: 0.571679
iteration 298: loss: 61.650307, loss_recon: 0.611292, loss_pred: 0.521098
iteration 299: loss: 62.280689, loss_recon: 0.618855, loss_pred: 0.395193
iteration 300: loss: 63.230480, loss_recon: 0.627713, loss_pred: 0.459208
 15%|████▌                         | 30/200 [24:56<2:19:46, 49.33s/it]iteration 301: loss: 61.479187, loss_recon: 0.610342, loss_pred: 0.444963
iteration 302: loss: 63.151913, loss_recon: 0.627436, loss_pred: 0.408336
iteration 303: loss: 61.469757, loss_recon: 0.608035, loss_pred: 0.666248
iteration 304: loss: 61.593117, loss_recon: 0.610487, loss_pred: 0.544442
iteration 305: loss: 60.879639, loss_recon: 0.602870, loss_pred: 0.592682
iteration 306: loss: 61.136837, loss_recon: 0.608286, loss_pred: 0.308217
iteration 307: loss: 60.790081, loss_recon: 0.604147, loss_pred: 0.375340
